Company Name,Type,RSSD ID,City,State,MRQ,Total Assets,PCO Tangible Common Equity
[Do not alter shaded columns]                             QA Field ID,,,,,,,3270
Field Type,,,,,,,BHC-SP
Period,,,,,,,6/30/25
Duration,,,,,,MRQ,
"Belmont Financial Group, Inc.",BHC-SP,3391727,Chicago,IL,6/30/2025,"963,883","98,475"
"Mountain Commerce Bancorp, Inc.",BHC-SP,3416965,Knoxville,TN,6/30/2025,"1,806,072","138,257"
Valliance Financial Corp.,BHC-SP,3447400,Oklahoma City,OK,6/30/2025,"753,738","59,514"
Ibt Holdings Corp.,BHC-SP,3462485,City Of Industry,CA,6/30/2025,"1,008,290","229,032"
"Ironhorse Financial Group, Inc.",BHC-SP,3488485,Muskogee,OK,6/30/2025,"2,472,168","143,523"
Modern Financial Inc.,BHC-SP,3719974,New York,NY,6/30/2025,"720,637","67,191"
Modern Bank Partners Llc,BHC-SP,3719992,New York,NY,6/30/2025,"711,178","57,688"
"Marion Bancshares, Inc.",BHC-SP,3828250,Marion,TX,6/30/2025,"140,406","13,887"
Lifestore Financial Group Inc,BHC-SP,3833843,West Jefferson,NC,6/30/2025,"478,876","55,161"
"Asheco Mhc, Inc.",BHC-SP,3837542,West Jefferson,NC,6/30/2025,"478,922","29,922"
"PBS Bancshares, Inc.",BHC-SP,4096645,Seneca,MO,6/30/2025,"477,609","43,772"
Bank Of Erath Holding Company,BHC-SP,4125152,Erath,LA,6/30/2025,"105,925","13,673"
"First Carolina Financial Services, Inc.",BHC-SP,4346706,Raleigh,NC,6/30/2025,"3,392,640","350,316"
Select Bank Financial Corporation,BHC-SP,4488857,Forest,VA,6/30/2025,"502,161","20,174"
"Park Cities Financial Group, Inc.",BHC-SP,4517298,Dallas,TX,6/30/2025,"1,187,579","131,773"
Providence Financial Corporation,BHC-SP,4656964,South Holland,IL,6/30/2025,"1,543,920","141,225"
"Park Financial Group, Inc.",BHC-SP,4792022,Minneapolis,MN,6/30/2025,"1,413,609","87,278"
Citizens Building And Loan Mhc,BHC-SP,4880358,Greer,SC,6/30/2025,"185,906","28,871"
"First Greenwich Financial, Inc.",BHC-SP,4894588,Cos Cob,CT,6/30/2025,"798,831","53,244"
Greater State Bancshares Corp.,BHC-SP,5041286,Mcallen,TX,6/30/2025,"171,025","14,949"
"Mbt Bancshares, Inc.",BHC-SP,5164541,Metairie,LA,6/30/2025,"625,823","48,316"
"Eastern International Bancorp, Inc.",BHC-SP,5230905,Los Angeles,CA,6/30/2025,"119,123","21,305"
"Goldwater Bancorp, Inc.",BHC-SP,5617645,Phoenix,AZ,6/30/2025,"456,795","41,515"
"Fmb Bancshares, Inc.",BHC-SP,5725821,Baldwyn,MS,6/30/2025,"528,113","68,536"
"Helios Bancorp, Inc.",BHC-SP,5879096,New York,NY,6/30/2025,"200,508","35,139"
"Gn Bankshares, Inc.",BHC-SP,1064915,Girard,KS,6/30/2025,"984,469","107,606"
"Citizens Bancorp Of Morehead Incorporated, The",BHC-SP,1071865,Morehead,KY,6/30/2025,"226,203","16,454"
B.P.C. Corporation,BHC-SP,1081613,Cookeville,TN,6/30/2025,"1,650,585","115,885"
"Gueydan Bancshares, Inc.",BHC-SP,1084801,Gueydan,LA,6/30/2025,"72,701",519
"Clinton Bancshares, Inc.",BHC-SP,1085460,Clinton,LA,6/30/2025,"204,542","18,178"
"Town & Country Bancshares, Inc",BHC-SP,1095722,Salem,MO,6/30/2025,"746,178","57,536"
Southeast Financial Bankstock Corporation,BHC-SP,1096662,Mcgehee,AR,6/30/2025,"186,610","28,635"
Guaranty Capital Corporation,BHC-SP,1096952,Belzoni,MS,6/30/2025,"2,857,917","114,192"
Germantown Banc Corp.,BHC-SP,1098741,Germantown,IL,6/30/2025,"499,534","38,996"
"Moscow Bancshares, Inc.",BHC-SP,1099896,Piperton,TN,6/30/2025,"1,061,342","92,836"
"Mnb Bancshares, Inc.",BHC-SP,1099980,Malvern,AR,6/30/2025,"624,484","70,624"
"Carlisle Bancorp, Inc.",BHC-SP,1100318,Arlington,KY,6/30/2025,"320,248","36,656"
Centrabanc Corporation,BHC-SP,1106132,Waco,TX,6/30/2025,"1,286,738","115,538"
"First Paragould Bankshares, Inc.",BHC-SP,1119383,Paragould,AR,6/30/2025,"2,507,825","215,426"
Northeast Securities Corporation,BHC-SP,1122422,Minneapolis,MN,6/30/2025,"827,255","59,480"
"Chippewa Valley Agency, Ltd.",BHC-SP,1122963,Hayward,WI,6/30/2025,"698,692","50,305"
Farmers State Corporation,BHC-SP,1123885,Mankato,MN,6/30/2025,"931,202","87,960"
"Northwestern Bancshares, Inc.",BHC-SP,1126466,Dilworth,MN,6/30/2025,"162,503","14,065"
"F & M Holding Company, Inc.",BHC-SP,1129458,Manchester,GA,6/30/2025,"83,089","-2,666"
"Diamond Bancshares, Inc.",BHC-SP,1129896,Antwerp,OH,6/30/2025,"154,186","12,488"
"Carroll County Bancshares, Inc.",BHC-SP,1131013,Carrollton,MO,6/30/2025,"206,739","12,427"
"Penn Bancshares, Inc.",BHC-SP,1132757,Pennsville,NJ,6/30/2025,"281,721","28,120"
"Mid-missouri Bancshares, Inc.",BHC-SP,1133455,Springfield,MO,6/30/2025,"927,031","85,798"
Banctenn Corp.,BHC-SP,1135002,Kingsport,TN,6/30/2025,"1,975,746","169,267"
Montecito Bancorp,BHC-SP,1138919,Santa Barbara,CA,6/30/2025,"2,133,669","170,247"
"Brighton Bancorp, Inc.",BHC-SP,1140248,Brighton,TN,6/30/2025,"57,229",406
Appalachian Financial Corporation,BHC-SP,1141115,Philippi,WV,6/30/2025,"225,165","17,583"
"Byron Bancshares, Inc.",BHC-SP,1203107,Byron,IL,6/30/2025,"369,372","29,567"
"Nekoosa Port Edwards Bancorporation, Inc.",BHC-SP,1204074,Nekoosa,WI,6/30/2025,"269,552","40,256"
"Lanark Bancshares, Inc.",BHC-SP,1204430,Lanark,IL,6/30/2025,"112,827","9,644"
"Firsnabanco, Inc.",BHC-SP,1207561,Viroqua,WI,6/30/2025,"330,105","27,388"
"Home State Bancorp, Inc.",BHC-SP,1209181,Crystal Lake,IL,6/30/2025,"762,759","71,595"
C.S.B. Holding Corporation,BHC-SP,1210301,Wyoming,IA,6/30/2025,"126,864","21,544"
Fs Bancorp,BHC-SP,1245479,Lagrange,IN,6/30/2025,"1,299,287","119,740"
West Iowa Banc Corp.,BHC-SP,1249187,Marcus,IA,6/30/2025,"75,822","8,689"
"First Financial Services Of Moose Lake, Inc.",BHC-SP,1249226,Moose Lake,MN,6/30/2025,"132,883","16,148"
Peoples Bancorp,BHC-SP,1249646,Rock Valley,IA,6/30/2025,"1,121,710","113,102"
"Eastern Bancshares, Inc.",BHC-SP,1363784,Romney,WV,6/30/2025,"265,729","23,851"
"Cedar Financial Holding, Inc.",BHC-SP,1398861,Fordyce,NE,6/30/2025,"60,332","10,394"
"Manning Financial Services, Inc.",BHC-SP,1491838,Manning,IA,6/30/2025,"80,016","13,214"
"Farmers Bancorporation, Inc.",BHC-SP,2142306,Buhl,ID,6/30/2025,"626,278","82,175"
"Battle Creek State Company, Inc.",BHC-SP,2249399,Battle Creek,NE,6/30/2025,"41,557","3,329"
"Rockcastle Bancorp, Inc.",BHC-SP,2262268,Brodhead,KY,6/30/2025,"242,739","18,799"
"Capitol Bankshares, Inc.",BHC-SP,2339610,Madison,WI,6/30/2025,"601,752","66,335"
"Hometown Financial Group, Inc.",BHC-SP,2494153,Flanagan,IL,6/30/2025,"307,579","15,953"
Ffd Financial Corporation,BHC-SP,2506805,Dover,OH,6/30/2025,"849,001","72,938"
"Iron Bancshares, Inc.",BHC-SP,2606693,Salisbury,CT,6/30/2025,"298,285","19,792"
"Queenstown Bancorp Of Maryland, Inc.",BHC-SP,2618614,Queenstown,MD,6/30/2025,"698,600","71,038"
"First National Bancorp, Inc.",BHC-SP,2619349,Green Forest,AR,6/30/2025,"1,133,027","101,535"
"Primebank, Inc.",BHC-SP,2700500,Le Mars,IA,6/30/2025,"747,331","79,559"
"Travelers Rest Bancshares, Inc.",BHC-SP,2730383,Travelers Rest,SC,6/30/2025,"1,513,285","107,058"
"Peoples State Bancorp, Inc.",BHC-SP,3072017,Munising,MI,6/30/2025,"204,048","26,058"
"Cecil Bancorp, Inc.",BHC-SP,3135190,Elkton,MD,6/30/2025,"222,472","29,178"
"Vision Bancshares, Inc.",BHC-SP,3211012,Laredo,TX,6/30/2025,"2,104,571","300,886"
First Trust Financial Corp.,BHC-SP,3249109,Kankakee,IL,6/30/2025,"377,023","29,737"
"Sterling Bancshares, Inc.",BHC-SP,3283587,Poplar Bluff,MO,6/30/2025,"1,457,048","192,357"
"Florence Bancorp, Mhc",BHC-SP,3367106,Florence,MA,6/30/2025,"1,940,693","199,500"
Pcnb Corp.,BHC-SP,3447428,Mccomb,MS,6/30/2025,"435,340","41,465"
"Farmbank Holding, Inc.",BHC-SP,3521421,Greeley,CO,6/30/2025,"372,543","38,569"
"Gulfport Bancshares Of Delaware, Inc.",BHC-SP,3530218,Richwood,TX,6/30/2025,"31,661","15,671"
1895 Mhc,BHC-SP,3535437,Worcester,MA,6/30/2025,"553,482","49,411"
1895 Corporation,BHC-SP,3535455,Worcester,MA,6/30/2025,"553,482","49,294"
"Russellville Bancorp, Inc.",BHC-SP,3658028,Russellville,MO,6/30/2025,"218,601","16,712"
"Triad Bancorp, Inc.",BHC-SP,3722376,Frontenac,MO,6/30/2025,"971,232","84,859"
"Summerfield Financial Services, Llc",BHC-SP,3822632,Lincoln,NE,6/30/2025,"245,266","16,605"
Susser Banc Holdings Corporation,BHC-SP,3823291,Dallas,TX,6/30/2025,"2,625,762","250,245"
Hoosier Heartland State Bancorp,BHC-SP,3823657,Crawfordsville,IN,6/30/2025,"330,623","14,228"
Eagle Financial Corp.,BHC-SP,3958867,Casey,IL,6/30/2025,"481,861","46,558"
"Exchange Bancorp Of Missouri, Inc.",BHC-SP,4209904,Fayette,MO,6/30/2025,"404,371","35,491"
"Valley Central Bancorp, Inc.",BHC-SP,4352538,Liberty Township,OH,6/30/2025,"182,805","37,475"
"Valley Central, Mhc",BHC-SP,4352574,Liberty Township,OH,6/30/2025,"182,805","37,683"
R Corp Financial,BHC-SP,4478027,Round Rock,TX,6/30/2025,"1,001,228","64,656"
C3 Bancorp,BHC-SP,4970268,Encinitas,CA,6/30/2025,"952,691","66,713"
River Valley Community Bancorp,BHC-SP,5116353,Yuba City,CA,6/30/2025,"608,935","56,261"
"Susser Bank Holdings, Llc",BHC-SP,5160860,Dallas,TX,6/30/2025,"2,625,762","173,380"
"Sbh Manager, Llc",BHC-SP,5189450,Dallas,TX,6/30/2025,"2,625,762",0
"Summit Bancshares, Inc",BHC-SP,5297083,Houston,MO,6/30/2025,"64,435","9,164"
Middlesex Federal Mhc,BHC-SP,5399950,Somerville,MA,6/30/2025,"661,492","53,400"
"Entrepreneurs Bancshares, Inc.",BHC-SP,5613236,Bloomington,MN,6/30/2025,"404,061","44,013"
Trunorth Bancorp Mhc,BHC-SP,5616189,North Brookfield,MA,6/30/2025,"432,678","37,788"
"Trunorth Bancorp, Inc.",BHC-SP,5616198,North Brookfield,MA,6/30/2025,"432,678","37,689"
"Pine Knob Holdings, Llc",BHC-SP,5623570,Bowling Green,KY,6/30/2025,"120,586","99,363"
"Pfs Bancorp, Inc.",BHC-SP,5837489,Peru,IL,6/30/2025,"207,906","37,766"
"Gtsb Financial, Inc.",BHC-SP,5930577,Decatur,MI,6/30/2025,"62,253","16,822"
"First National Bancshares Of Louisiana, Inc.",BHC-SP,5989847,Crowley,LA,6/30/2025,"587,839","61,155"
Peoples Bancorp,BHC-SP,1030947,Bellingham,WA,6/30/2025,"2,414,440","302,437"
"Payne County Bancshares, Inc.",BHC-SP,1050806,Perkins,OK,6/30/2025,"284,756","35,249"
"American Bancorporation, Inc.",BHC-SP,1052220,Sapulpa,OK,6/30/2025,"1,478,705","124,343"
"Hanston Insurance Agency, Inc.",BHC-SP,1052293,Hanston,KS,6/30/2025,"358,782","32,828"
Bbj Incorporated,BHC-SP,1052846,Ord,NE,6/30/2025,"156,907","17,849"
"H. Pat Henson Company, The",BHC-SP,1053526,Blair,OK,6/30/2025,"13,741","1,792"
"First Altus Bancorp, Inc.",BHC-SP,1056134,Altus,OK,6/30/2025,"347,871","24,728"
"Cattle Crossing, Inc.",BHC-SP,1059555,Seward,NE,6/30/2025,"412,406","45,059"
"Hilltop Bancshares, Inc.",BHC-SP,1062126,Bennington,NE,6/30/2025,"206,067","13,900"
"Spirit BankCorp, Inc.",BHC-SP,1062135,Bristow,OK,6/30/2025,"896,371","78,877"
"Urich Bancorp, Inc.",BHC-SP,1064492,Blue Springs,MO,6/30/2025,"54,961","5,060"
Security Financial Services Corporation,BHC-SP,1064504,Enid,OK,6/30/2025,"390,404","31,942"
"Fairview Bancshares, Inc.",BHC-SP,1065211,Fairview,OK,6/30/2025,"115,907","5,182"
"N.B.C. Bancshares In Pawhuska, Inc.",BHC-SP,1065565,Pawhuska,OK,6/30/2025,"1,239,822","79,088"
Cumberland Valley Financial Corporation,BHC-SP,1071463,London,KY,6/30/2025,"794,619","58,379"
"Palmetto State Bankshares, Inc.",BHC-SP,1076329,Hampton,SC,6/30/2025,"605,945","76,299"
"Bancindependent, Incorporated",BHC-SP,1082209,Sheffield,AL,6/30/2025,"2,775,814","225,593"
Dickson Financial Corporation,BHC-SP,1085899,Dickson,TN,6/30/2025,"281,513","26,137"
"Citizens Bancshares, Inc.",BHC-SP,1086382,Greensboro,AL,6/30/2025,"127,029","10,954"
Backlund Investment Co.,BHC-SP,1095058,Peoria Heights,IL,6/30/2025,"763,350","60,996"
"West Plains Bancshares, Inc.",BHC-SP,1095852,West Plains,MO,6/30/2025,"701,062","50,116"
"Peoples Corporation, The",BHC-SP,1097061,Ripley,MS,6/30/2025,"552,347","47,513"
"Lincoln County Bancorp, Inc.",BHC-SP,1097173,Troy,MO,6/30/2025,"1,464,709","105,810"
"Bancstar, Inc.",BHC-SP,1097445,Saint Louis,MO,6/30/2025,"188,950","7,387"
"Citizens Bancorp Of Hickman, Inc.",BHC-SP,1099270,Hickman,KY,6/30/2025,"214,496","22,465"
"Schuyler County Bancshares, Inc.",BHC-SP,1100055,Kirksville,MO,6/30/2025,"150,788","13,088"
"Texas Independent Bancshares, Inc.",BHC-SP,1103878,Texas City,TX,6/30/2025,"2,408,111","248,762"
"First Citizens Bancshares, Inc.",BHC-SP,1105470,Waxahachie,TX,6/30/2025,"1,976,125","208,498"
Central Louisiana Capital Corporation,BHC-SP,1109571,Vidalia,LA,6/30/2025,"621,117","48,569"
"Philip Bancorporation, Inc.",BHC-SP,1125683,Philip,SD,6/30/2025,"405,497","47,677"
"Lindell Bancshares, Inc.",BHC-SP,1128200,Cold Spring,MN,6/30/2025,"83,091","7,021"
Community Financial Corp.,BHC-SP,1131488,Edgewood,IA,6/30/2025,"606,585","29,373"
First State Capital Corporation,BHC-SP,1132980,Lineville,AL,6/30/2025,"338,804","20,793"
"Frankewing Bancshares, Inc.",BHC-SP,1136447,Frankewing,TN,6/30/2025,"490,068","41,126"
F&m Financial Corp,BHC-SP,1137882,Piedmont,AL,6/30/2025,"317,174","32,329"
"Readlyn Bancshares, Inc.",BHC-SP,1139327,Saint Paul,MN,6/30/2025,"156,113","39,636"
"Tri-County Financial Group, Inc.",BHC-SP,1139345,Mendota,IL,6/30/2025,"1,562,943","149,018"
Range Financial Corporation,BHC-SP,1139868,Marquette,MI,6/30/2025,"575,319","47,485"
Security National Corporation,BHC-SP,1140323,Omaha,NE,6/30/2025,"1,816,526","144,153"
"Pacific Bancstar, Inc.",BHC-SP,1142943,Saint Louis,MO,6/30/2025,"186,767","15,401"
Peoples Ltd.,BHC-SP,1143959,Wyalusing,PA,6/30/2025,"616,221","59,955"
"Whitmore Company, Inc.",BHC-SP,1200049,Clarinda,IA,6/30/2025,"319,521","26,838"
Northwood Financial Services Corporation,BHC-SP,1204841,Northwood,IA,6/30/2025,"470,140","35,638"
First Of Waverly Corporation,BHC-SP,1206395,Waverly,IA,6/30/2025,"726,786","86,025"
Rake Bancorporation,BHC-SP,1210002,Rake,IA,6/30/2025,"80,574","11,768"
Farmers Bancorp Inc.,BHC-SP,1247615,Blytheville,AR,6/30/2025,"564,630","43,525"
"Britt Bancshares, Inc.",BHC-SP,1250231,Saint Paul,MN,6/30/2025,"130,453","23,813"
"Ashton Bancshares, Inc.",BHC-SP,1250419,Saint Paul,MN,6/30/2025,"57,132","8,859"
"Kaw Valley Bancshares, Inc.",BHC-SP,1357103,Wamego,KS,6/30/2025,"296,980","32,388"
Page Holding Company,BHC-SP,1363748,Plankinton,SD,6/30/2025,"158,862","16,953"
"Jtnb Bancorp, Inc.",BHC-SP,1406935,Jim Thorpe,PA,6/30/2025,"246,187","19,786"
"Tcb Bancshares, Inc.",BHC-SP,1417418,Crawford,GA,6/30/2025,"427,456","33,070"
Lordsburg Financial Corporation,BHC-SP,1417454,Lordsburg,NM,6/30/2025,"311,383","41,828"
Viking Financial Corporation,BHC-SP,1449512,Alexandria,MN,6/30/2025,"277,658","35,854"
Yale Bancorporation,BHC-SP,1491810,Yale,IA,6/30/2025,"69,647","6,693"
"Royal Bancshares, Inc.",BHC-SP,1491904,Elroy,WI,6/30/2025,"781,752","80,425"
"Pawnee Holding Company, Inc.",BHC-SP,1494343,Tulsa,OK,6/30/2025,"903,999","90,682"
"First Berlin Bancorp, Inc.",BHC-SP,1889538,Berlin,WI,6/30/2025,"672,967","79,677"
"Peoples Independent Bancshares, Inc.",BHC-SP,1918755,Boaz,AL,6/30/2025,"463,368","44,368"
"Phenix-girard Bancshares, Inc.",BHC-SP,2013246,Phenix City,AL,6/30/2025,"323,785","3,201"
Farmers State Financial Corp.,BHC-SP,2108227,Victor,MT,6/30/2025,"718,352","31,586"
"National Bank Of Indianapolis Corporation, The",BHC-SP,2149622,Indianapolis,IN,6/30/2025,"2,880,558","222,943"
"F&c Bancorp, Inc.",BHC-SP,2168931,Holden,MO,6/30/2025,"430,495","21,901"
"First Eldorado Bancshares, Inc.",BHC-SP,2234863,Eldorado,TX,6/30/2025,"109,079","16,770"
"Border Bancshares, Inc.",BHC-SP,2238544,Greenbush,MN,6/30/2025,"1,009,876","59,580"
Siouxland National Corporation,BHC-SP,2313058,South Sioux City,NE,6/30/2025,"84,132","8,610"
"Sunset Bancorp, Inc.",BHC-SP,2376727,Sunset,LA,6/30/2025,"195,075","18,161"
Malvern Bank Corporation,BHC-SP,2409755,Malvern,PA,6/30/2025,"215,233","32,285"
"Commerce Bancshares, Inc.",BHC-SP,2480491,Catoosa,OK,6/30/2025,"188,796","23,389"
"Forsyth Bancshares, Inc.",BHC-SP,2497211,Cumming,GA,6/30/2025,"590,200","54,781"
"Peoples Bancorp, Inc.",BHC-SP,2531049,Chestertown,MD,6/30/2025,"296,134","38,854"
"Peoples-marion Bancorp, Inc.",BHC-SP,2574886,Marion,KY,6/30/2025,"138,487","13,272"
Holly Springs Bancshares Inc,BHC-SP,2590644,Holly Springs,MS,6/30/2025,"573,451","52,921"
"Fisher Bancorp, Inc.",BHC-SP,2616179,Fisher,IL,6/30/2025,"347,915","25,173"
"First Community Bancshares, Inc.",BHC-SP,2641694,Batesville,AR,6/30/2025,"3,250,953","239,107"
"Millbrook Bank System, Inc.",BHC-SP,2646998,Millbrook,NY,6/30/2025,"285,673","33,521"
"Peoples Holding Company, Inc.",BHC-SP,2684543,Coldwater,OH,6/30/2025,"853,058","81,962"
"Town & Country Bancshares, Inc.",BHC-SP,2725660,Norman,OK,6/30/2025,"518,556","47,135"
"Petefish, Skiles Bancshares, Inc.",BHC-SP,2728652,Virginia,IL,6/30/2025,"468,320","37,507"
Oconee Financial Corporation,BHC-SP,2729499,Watkinsville,GA,6/30/2025,"670,289","51,074"
First Of Minden Financial Corporation,BHC-SP,2850432,Minden,NE,6/30/2025,"96,017","10,842"
"Overton Financial Services, Inc.",BHC-SP,2854092,Livingston,TN,6/30/2025,"92,523","16,692"
"Associated Community Bancorp, Inc.",BHC-SP,2863946,Greenwich,CT,6/30/2025,"549,742","61,310"
Community Bancshares Company,BHC-SP,2948254,Colfax,LA,6/30/2025,"152,355","12,271"
"Yankee Ridge, Inc.",BHC-SP,2948919,Allerton,IL,6/30/2025,"135,061","14,329"
"Northstar Financial Group, Inc.",BHC-SP,2958990,Bad Axe,MI,6/30/2025,"2,953,050","222,853"
"Plato Holdings, Inc.",BHC-SP,3090842,Saint Paul,MN,6/30/2025,"273,200","13,786"
First Commerce Financial Corporation,BHC-SP,3123366,Marysville,KS,6/30/2025,"136,947","12,777"
Olmsted Holding Corporation,BHC-SP,3153260,Rochester,MN,6/30/2025,"272,987","22,942"
Citizens National Banc Corp.,BHC-SP,3186576,Meridian,MS,6/30/2025,"1,756,536","187,396"
"Citizens Bancshares, Inc.",BHC-SP,3248821,Bluffton,OH,6/30/2025,"1,065,092","100,481"
Third Century Bancorp,BHC-SP,3252659,Franklin,IN,6/30/2025,"318,964","9,350"
"Nashua Bancshares, Inc.",BHC-SP,3285237,Saint Paul,MN,6/30/2025,"67,414","7,532"
"Bna Bancshares, Inc.",BHC-SP,3326176,New Albany,MS,6/30/2025,"818,152","87,188"
"South Texas Bancshares, Inc.",BHC-SP,3361506,Shallowater,TX,6/30/2025,"148,743","25,354"
"Cornerstone Holding Company, Inc.",BHC-SP,3435283,Fargo,ND,6/30/2025,"1,758,148","102,505"
Sidney Bancorp.,BHC-SP,3621497,Sidney,MI,6/30/2025,"146,513","11,171"
Bov Holding Company,BHC-SP,3643837,Versailles,MO,6/30/2025,"343,728","50,476"
Colonial Holding Company,BHC-SP,3816677,Fort Worth,TX,6/30/2025,"991,473","242,785"
First Western Mortgage Corporation,BHC-SP,3821372,Fort Worth,TX,6/30/2025,"991,473","243,450"
"Covington Financial Corporation, Mhc",BHC-SP,3828120,Covington,OH,6/30/2025,"86,643","19,327"
Covington Financial Corporation,BHC-SP,3828148,Covington,OH,6/30/2025,"86,643","19,325"
Prospect Financial Corporation,BHC-SP,3834822,Warwick,RI,6/30/2025,"502,678","54,679"
"Southeastern Bancorp, Inc.",BHC-SP,3842050,Dickson,TN,6/30/2025,"1,057,211","114,740"
Mascoma Mutual Financial Services Corporation,BHC-SP,3846106,Lebanon,NH,6/30/2025,"2,896,390","210,199"
"First Savings Financial Group, Inc.",BHC-SP,3908929,Jeffersonville,IN,6/30/2025,"2,416,675","183,822"
First Federal Van Wert Bancorp Inc.,BHC-SP,4028785,Van Wert,OH,6/30/2025,"184,103","22,100"
"First Federal Savings & Loan Association Of Van Wert, Mhc",BHC-SP,4028860,Van Wert,OH,6/30/2025,"184,103","22,138"
Fidelity Federal Financial Corporation,BHC-SP,4252991,Delaware,OH,6/30/2025,"130,183","17,888"
"Fidelity Federal Savings & Loan Association, Mhc",BHC-SP,4253000,Delaware,OH,6/30/2025,"130,183","17,985"
"Oakworth Capital, Inc.",BHC-SP,4503910,Birmingham,AL,6/30/2025,"1,851,589","135,757"
"Freedom Bancorp, Inc.",BHC-SP,5010844,Maywood,NJ,6/30/2025,"772,905","66,313"
Community Bancorp Of Santa Maria,BHC-SP,5113857,Santa Maria,CA,6/30/2025,"417,805","34,467"
"Waterman Acquisition Group, Llc",BHC-SP,5341249,Waterman,IL,6/30/2025,"163,596","25,461"
"Bancorp Of Baltic, Inc.",BHC-SP,5471931,Baltic,OH,6/30/2025,"111,754","8,881"
Vineyard Bancorp Mhc,BHC-SP,5557826,Edgartown,MA,6/30/2025,"1,317,901","140,925"
Jbt Bancorp Inc,BHC-SP,5557983,Jonestown,PA,6/30/2025,"975,044","84,433"
Lafayette Banking Company,BHC-SP,5636776,Mayo,FL,6/30/2025,"243,808","14,110"
"Nsts Bancorp, Inc.",BHC-SP,5654323,Waukegan,IL,6/30/2025,"275,976","77,833"
Odnb Financial Corporation,BHC-SP,5727601,Tysons Corner,VA,6/30/2025,"1,490,255","138,699"
Pacific West Bancorp,BHC-SP,5784930,West Linn,OR,6/30/2025,"361,550","34,566"
"Wsb Financial, Inc.",BHC-SP,5787744,Fort Lauderdale,FL,6/30/2025,"11,756","2,879"
"West 4 Bancshares, Inc.",BHC-SP,5947294,Healy,KS,6/30/2025,"118,822","13,882"
"Oak Tree Financial Corporation, Inc.",BHC-SP,5977479,Rogers,AR,6/30/2025,"71,097","10,681"
"First Nebraska Bancs, Inc.",BHC-SP,1051081,Sidney,NE,6/30/2025,"802,672","68,510"
First Okmulgee Corporation,BHC-SP,1056330,Okmulgee,OK,6/30/2025,"306,025","51,076"
"Bendena Bancshares, Inc.",BHC-SP,1056648,Bendena,KS,6/30/2025,"108,407","9,217"
"Garnett Bancshares, Inc.",BHC-SP,1057896,Garnett,KS,6/30/2025,"249,813","17,781"
"Arkansas Valley Bancshares, Inc.",BHC-SP,1057980,Broken Arrow,OK,6/30/2025,"531,482","43,167"
First Liberty Capital Corporation,BHC-SP,1059818,Hugo,CO,6/30/2025,"149,041","11,979"
"Wamego Bancshares, Inc.",BHC-SP,1060524,Wamego,KS,6/30/2025,"477,503","36,488"
"First Bankshares Of Las Animas, Inc.",BHC-SP,1064027,Las Animas,CO,6/30/2025,"603,655","57,206"
"Beaver Bancorp, Inc.",BHC-SP,1066263,Beaver,OK,6/30/2025,"177,900","7,086"
"First Centralia Bancshares, Inc.",BHC-SP,1067916,Centralia,KS,6/30/2025,"266,190","18,411"
"Genbanc, Inc.",BHC-SP,1071388,Genoa,OH,6/30/2025,"714,148","52,030"
"Croghan Bancshares, Inc.",BHC-SP,1071726,Fremont,OH,6/30/2025,"1,179,345","130,280"
F & M Financial Corporation,BHC-SP,1076619,Granite Quarry,NC,6/30/2025,"929,968","133,404"
"P B Bancshares, Inc.",BHC-SP,1083952,Clifton,TN,6/30/2025,"399,576","41,460"
"Judson Young Memorial Education Foundation, Inc.",BHC-SP,1094444,Salem,MO,6/30/2025,"141,447","4,594"
"First Illinois Bancorp, Inc.",BHC-SP,1095889,East Saint Louis,IL,6/30/2025,"926,609","148,566"
"Steelville Community Banc-shares, Inc.",BHC-SP,1096037,Steelville,MO,6/30/2025,"206,634","5,053"
"Buffalo Bancshares, Inc.",BHC-SP,1096297,Buffalo,KY,6/30/2025,"129,853","15,487"
"Royal Bancshares, Inc.",BHC-SP,1096372,Saint Louis,MO,6/30/2025,"1,050,556","124,852"
"Central Bancshares, Inc.",BHC-SP,1106468,Houston,TX,6/30/2025,"1,255,957","88,996"
"First Anderson Bancshares, Inc.",BHC-SP,1108323,Anderson,TX,6/30/2025,"208,792","25,047"
"Commercial Bancshares, Inc.",BHC-SP,1118818,Texarkana,AR,6/30/2025,"318,609","12,431"
"Morgantown Deposit Bancorp, Inc.",BHC-SP,1119217,Morgantown,KY,6/30/2025,"415,043","23,766"
Jackson Financial Corporation,BHC-SP,1119347,Mayfield,KY,6/30/2025,"721,603","51,456"
MPS Investment Company,BHC-SP,1121984,Appleton,MN,6/30/2025,"59,419","7,996"
Goose River Holding Company,BHC-SP,1123803,Mayville,ND,6/30/2025,"171,809","18,097"
"Bankshares Of Hawley, Inc.",BHC-SP,1125656,Hawley,MN,6/30/2025,"145,508","10,266"
Crosstown Holding Company,BHC-SP,1126149,Blaine,MN,6/30/2025,"828,233","67,297"
"Forstrom Bancorporation, Inc.",BHC-SP,1128134,Clara City,MN,6/30/2025,"1,490,588","93,083"
United Bancorporation,BHC-SP,1128264,Baker,MT,6/30/2025,"158,072","17,230"
"Evans Bancshares, Inc.",BHC-SP,1130726,Evansdale,IA,6/30/2025,"92,489","12,817"
"Amtex Bancshares, Inc.",BHC-SP,1131899,Orange,TX,6/30/2025,"490,107","43,179"
