,,,,,,,,,,,,,,,,,,,,TCE,,,,,Un. Loss - T,,Un. Loss - T-1,,,,TCE Adj.,,TCE Adj.,,,Aggregate,,,6.0%,,Ticker,Per Share,,,,,HTM Securities: Cost,,,,,,,,,,,,,,,HTM Securities: FMV,,,,,,,,,,,,,,,HTM Securities: Cost,,,,,,,,,,,,,,,HTM Securities: FMV,,,,,,,,,,,,,,,AFS Securities: Cost,,,,,,,,,,,,,,,AFS Securities: FMV,,,,,,,,,,,,,,,AFS Securities: Cost,,,,,,,,,,,,,,,AFS Securities: FMV,,,,,,,,,,,,,,,Tangible Common Equity,,,,,,,,,,,,,,,Intangibles,,,,,,,,,,,,,,,Municipals,,,,,,,,,,,,,,
Ticker,BHC,Bank 1,Bank 2,Bank 3,Bank 4,Bank 5,Bank 6,Bank 7,Bank 8,Bank 9,Bank 10,Bank 11,Bank 12,Bank 13,Bank 14,Bank 15,,Large?,,GAAP,Large,Small,Bank,Bank Intang.,AFS,HTM,AFS,HTM,S/O,SP?,Non-SP,SP,Non-SP,SP,,TCE,Adj. TCE,Mark. TCE,,,,TCE,Adj. TCE,Mark. TCE,Kanter Adj. TCE,,T,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,T-1,,,,,,,,,,,,,,,T-1,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,T-1,,,,,,,,,,,,,,,T-1,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,
CCNE,1118340,399517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,NA,"535,449",NA,"564,290","43,939","-32,183","-14,074","-38,756","-17,333","21,119,894",0,"32,183","38,756","-14,074","-23,906",,"535,449","567,632","521,375","562,095",,CCNE,25.35,26.88,24.69,26.61,,"282,159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"263,394",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"306,081",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"282,970",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"554,698",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"511,787",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"515,360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"463,685",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"564,290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"43,939",0,0,0,0,0,0,0,0,0,0,0,0,0,0,92285,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCYY,5493876,3185579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,NA,NA,"15,742","15,909",0,"-3,949",0,"-4,025",0,"1,665,667",1,"3,949","4,025",0,-76,,"15,742","19,767","15,666","18,924",,CCYY,9.45,11.87,9.41,11.36,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"28,647",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"23,382",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"28,838",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"23,472",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,909",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDAB,3780938,3010363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,NA,NA,"24,376","28,482",42,"-1,612",0,"-2,150",0,"1,899,254",1,"1,612","2,150",0,-538,,"24,376","26,526","23,838","25,582",,CDAB,12.83,13.97,12.55,13.47,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"79,833",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"77,684",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"93,937",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"91,071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"28,482",0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15718,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEFC,1249299,513340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,NA,NA,"49,154","52,557","3,233","-6,820",0,"-7,495",0,"3,965,303",1,"6,820","7,495",0,-675,,"49,154","56,649","48,479","54,218",,CEFC,12.40,14.29,12.23,13.67,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"88,857",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"79,764",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"88,342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"78,349",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"52,557",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,233",0,0,0,0,0,0,0,0,0,0,0,0,0,0,40512,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFBK,3828577,767974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,NA,NA,"174,623","214,614",0,"-1,637",0,"-1,712",0,"6,447,692",1,"1,637","1,712",0,-74,,"174,623","176,335","174,549","176,335",,CFBK,27.08,27.35,27.07,27.35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,976",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,793",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,965",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,683",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"214,614",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFFI,2183493,928421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,NA,NA,"214,036","240,826","26,275","-18,117",0,"-22,493",0,"3,238,085",1,"18,117","22,493",0,"-4,376",,"214,036","236,529","209,660","227,919",,CFFI,66.10,73.05,64.75,70.39,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"455,669",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"431,513",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"448,616",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"418,625",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"240,826",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"26,275",0,0,0,0,0,0,0,0,0,0,0,0,0,0,143496,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFFN,4226910,968070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,NA,"1,036,499",NA,"965,757","9,796","14,874",0,"8,199",0,"132,800,865",0,"-14,874","-8,199",0,"-6,675",,"1,036,499","1,021,625","1,036,499","1,021,625",,CFFN,7.80,7.69,7.80,7.69,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"941,585",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"961,417",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"850,569",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"861,501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"965,757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,796",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFG,1132449,3303298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,NA,"14,804,639",NA,"17,254,301","8,154,090","-1,332,652","-714,982","-1,609,643","-793,898","432,768,811",0,"1,332,652","1,609,643","-714,982","-1,070,889",,"14,804,639","16,137,291","14,089,657","16,137,234",,CFG,34.21,37.29,32.56,37.29,,"8,468,716",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,515,407",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,598,508",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,539,977",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"35,984,522",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34,207,653",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34,910,994",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"32,764,804",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17,254,301",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,154,090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFR,1102367,682563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,NA,"3,357,268",NA,"3,323,401","696,847","-1,052,165","-160,662","-1,168,899","-130,154","64,319,000",0,"1,052,165","1,168,899","-160,662","-246,889",,"3,357,268","4,409,433","3,196,606","3,991,298",,CFR,52.20,68.56,49.70,62.05,,"3,511,466",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,297,250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,534,085",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,360,546",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18,224,085",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,821,199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,558,978",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,000,446",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,323,401",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"696,847",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6968910,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFSB,5651452,117074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,NA,NA,"75,730","64,059",0,0,"-7,795",0,"-9,397","6,548,575",1,0,0,"-7,795","-9,397",,"75,730","75,730","66,333","73,455",,CFSB,11.56,11.56,10.13,11.22,,"145,984",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"135,591",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"148,036",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"135,507",0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"64,059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37925,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHBH,1071726,362717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,NA,NA,"107,864","104,419","22,416","-23,783",0,"-26,223",0,"2,048,838",1,"23,783","26,223",0,"-2,441",,"107,864","134,087","105,424","126,918",,CHBH,52.65,65.45,51.46,61.95,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"350,180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"318,470",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"346,474",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"311,510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"104,419",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22,416",0,0,0,0,0,0,0,0,0,0,0,0,0,0,119488,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHCO,1076262,1011526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,NA,"605,257",NA,"493,171","159,501","-96,251",0,"-115,288",0,"14,495,000",0,"96,251","115,288",0,"-19,037",,"605,257","701,508","605,257","690,680",,CHCO,41.76,48.40,41.76,47.65,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,533,623",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,405,289",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,563,462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,409,745",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"493,171",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"159,501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,180457,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHMG,1133594,884303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,NA,"213,142",NA,"200,922","21,824","-56,099",0,"-64,370",0,"4,810,000",0,"56,099","64,370",0,"-8,272",,"213,142","269,241","213,142","267,076",,CHMG,44.31,55.98,44.31,55.53,,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"603,125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"528,327",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"617,269",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"531,442",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"200,922",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21,824",0,0,0,0,0,0,0,0,0,0,0,0,0,0,36076,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIBH,1139532,340742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,NA,NA,"80,428","80,012",64,"-4,074",0,"-5,261",0,"1,351,397",1,"4,074","5,261",0,"-1,187",,"80,428","85,689","79,242","84,420",,CIBH,59.51,63.41,58.64,62.47,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"127,370",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"121,938",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"125,220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"118,206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"80,012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIBN,3827918,346379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,NA,NA,"19,844","24,059",421,"-1,067",0,"-1,418",0,"794,142",1,"1,067","1,418",0,-350,,"19,844","21,262","19,494","21,059",,CIBN,24.99,26.77,24.55,26.52,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"23,747",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22,324",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"23,851",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21,961",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"24,059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITZ,1357121,898627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,NA,NA,"68,879","88,849","17,820","-9,216",0,"-11,639",0,"1,951,320",1,"9,216","11,639",0,"-2,423",,"68,879","80,518","66,457","78,430",,CITZ,35.30,41.26,34.06,40.19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"242,814",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"230,526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"243,604",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"228,086",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"88,849",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17,820",0,0,0,0,0,0,0,0,0,0,0,0,0,0,34799,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIVB,1246533,542528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,NA,"274,281",NA,"337,426","130,194","-45,319",0,"-46,493",0,"15,529,342",0,"45,319","46,493",0,"-1,175",,"274,281","319,600","274,281","300,387",,CIVB,17.66,20.58,17.66,19.34,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"705,442",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"645,017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"707,529",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"645,538",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"337,426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"130,194",0,0,0,0,0,0,0,0,0,0,0,0,0,0,320213,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIWV,1142970,481627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,NA,NA,"52,166","62,450","4,218","-1,976",0,"-2,556",0,"1,700,658",1,"1,976","2,556",0,-581,,"52,166","54,722","51,586","54,451",,CIWV,30.67,32.18,30.33,32.02,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"73,226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"70,592",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"71,435",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"68,027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"62,450",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,218",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIZN,1083475,29636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,NA,NA,"37,688","51,631","13,195","-27,151","-28,720","-27,301","-30,946","5,653,753",1,"27,151","27,301","-28,720","-31,096",,"37,688","64,989","6,592","54,719",,CIZN,6.67,11.49,1.17,9.68,,"366,229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"327,936",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"370,221",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"328,960",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"218,546",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"182,345",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"223,301",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"186,900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51,631",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,171155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLST,5587775,420578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,NA,NA,"80,799","75,371",0,"-2,462","-1,376","-2,845","-1,622","4,142,816",1,"2,462","2,845","-1,376","-2,006",,"80,799","83,644","78,794","83,527",,CLST,19.50,20.19,19.02,20.16,,"13,445",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,447",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,284",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30,090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"26,808",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"29,477",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"25,684",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"75,371",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMA,1199844,60143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,NA,"6,220,000",NA,"5,883,000","696,000","-1,904,250",0,"-2,154,750",0,"129,676,758",0,"1,904,250","2,154,750",0,"-250,500",,"6,220,000","8,124,250","6,220,000","8,124,250",,CMA,47.97,62.65,47.97,62.65,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17,604,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,065,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17,881,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,008,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,883,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"696,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMHF,5292707,41825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,NA,NA,"82,279","91,555","1,657","-1,601","-6,673","-1,908","-7,671","2,928,888",1,"1,601","1,908","-6,673","-7,979",,"82,279","84,187","74,301","82,105",,CMHF,28.09,28.74,25.37,28.03,,"90,382",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"81,485",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"91,484",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"81,256",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"44,649",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"42,515",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"42,916",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40,372",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"91,555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,657",0,0,0,0,0,0,0,0,0,0,0,0,0,0,34705,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMRB,0,3404373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,NA,NA,NA,"167,210",6,-132,"-1,549",0,"-2,822","20,096,480",0,132,0,"-1,549","-2,690",,"167,210","167,342","165,661","167,342",,CMRB,8.32,8.33,8.24,8.33,,"151,259",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"149,194",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"112,108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"108,345",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"26,965",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"26,789",0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"167,210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMTV,1115040,270504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,NA,NA,"93,270","103,596","11,574","-12,709",0,"-14,960",0,"5,848,828",1,"12,709","14,960",0,"-2,252",,"93,270","108,230","91,019","107,612",,CMTV,15.95,18.50,15.56,18.40,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"184,754",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"167,809",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"179,172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"159,225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"103,596",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,574",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10297,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMUV,4909521,3637706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,NA,NA,"32,027","34,374",0,0,-524,0,-530,"1,746,772",1,0,0,-524,-530,,"32,027","32,027","31,497","32,005",,CMUV,18.33,18.33,18.03,18.32,,"5,865",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,866",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34,374",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNAF,1823738,945026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,NA,NA,"32,138","33,574",0,"-22,234",0,"-23,089",0,"2,860,953",1,"22,234","23,089",0,-855,,"32,138","55,227","31,283","46,084",,CNAF,11.23,19.30,10.93,16.11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"182,019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"152,374",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"186,861",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"156,076",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"33,574",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152374,0,0,0,0,0,0,0,0,0,0,0,0,0,0
