,,,,,,,,,,,,,,,,,,,,TCE,,,,,Un. Loss - T,,Un. Loss - T-1,,,,TCE Adj.,,TCE Adj.,,,Aggregate,,,6.0%,,Ticker,Per Share,,,,,HTM Securities: Cost,,,,,,,,,,,,,,,HTM Securities: FMV,,,,,,,,,,,,,,,HTM Securities: Cost,,,,,,,,,,,,,,,HTM Securities: FMV,,,,,,,,,,,,,,,AFS Securities: Cost,,,,,,,,,,,,,,,AFS Securities: FMV,,,,,,,,,,,,,,,AFS Securities: Cost,,,,,,,,,,,,,,,AFS Securities: FMV,,,,,,,,,,,,,,,Tangible Common Equity,,,,,,,,,,,,,,,Intangibles,,,,,,,,,,,,,,,Municipals,,,,,,,,,,,,,,
Ticker,BHC,Bank 1,Bank 2,Bank 3,Bank 4,Bank 5,Bank 6,Bank 7,Bank 8,Bank 9,Bank 10,Bank 11,Bank 12,Bank 13,Bank 14,Bank 15,,Large?,,GAAP,Large,Small,Bank,Bank Intang.,AFS,HTM,AFS,HTM,S/O,SP?,Non-SP,SP,Non-SP,SP,,TCE,Adj. TCE,Mark. TCE,,,,TCE,Adj. TCE,Mark. TCE,Kanter Adj. TCE,,T,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,T-1,,,,,,,,,,,,,,,T-1,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,T-1,,,,,,,,,,,,,,,T-1,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,
ALRS,2067007,933256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,NA,"409,059",NA,"392,339","126,806","-63,207","-25,637","-73,877","-29,047","25,388,848",0,"63,207","73,877","-25,637","-39,717",,"409,059","472,266","383,422","465,328",,ALRS,16.11,18.60,15.10,18.33,,"268,760",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"234,577",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"275,716",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"236,987",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"652,004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"567,728",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"686,556",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"588,053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"392,339",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"126,806",0,0,0,0,0,0,0,0,0,0,0,0,0,0,115636,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMAL,5559343,661308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,NA,"739,848",NA,"746,146","14,279","-39,248","-99,881","-50,386","-115,642","30,412,000",0,"39,248","50,386","-99,881","-126,780",,"739,848","779,096","639,968","703,212",,AMAL,24.33,25.62,21.04,23.12,,"1,573,818",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,440,644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,586,909",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,432,720",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,759,604",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,707,274",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,696,239",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,629,058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"746,146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,279",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1264729,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMBK,3008753,2580243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,NA,NA,"101,068","105,993",0,"-1,011",0,"-1,440",0,"6,318,000",1,"1,011","1,440",0,-429,,"101,068","102,508","100,639","102,508",,AMBK,16.00,16.22,15.93,16.22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"59,354",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"58,006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"63,553",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"61,633",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"105,993",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMBZ,0,2734729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,NA,NA,NA,"368,038",181,"-70,910","-74,146","-78,040","-79,694","8,968,494",0,"70,910","78,040","-74,146","-86,823",,"368,038","438,948","293,892","411,884",,AMBZ,41.04,48.94,32.77,45.93,,"541,174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"442,313",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"544,861",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"438,603",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"626,536",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"531,989",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"642,327",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"538,274",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"368,038",0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451078,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMFC,3848267,1010574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,NA,NA,"32,772","32,578",0,-875,0,"-1,013",0,"888,743",1,875,"1,013",0,-139,,"32,772","33,785","32,633","33,610",,AMFC,36.87,38.01,36.72,37.82,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18,274",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17,108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,324",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,973",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"32,578",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2913,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMTB,1135972,83638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,NA,"901,730",NA,"936,699","21,561","-28,337",0,"-41,122",0,"41,748,434",0,"28,337","41,122",0,"-12,785",,"901,730","930,067","901,730","930,067",,AMTB,21.60,22.28,21.60,22.28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,737,941",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,700,158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,490,066",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,435,237",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"936,699",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21,561",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDC,1071913,27614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,NA,NA,"18,287","25,013","2,654","-29,008",0,"-30,107",0,"2,016,853",1,"29,008","30,107",0,"-1,100",,"18,287","48,394","17,188","42,834",,ANDC,9.07,23.99,8.52,21.24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"292,443",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"253,766",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"298,040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"257,897",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"25,013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,654",0,0,0,0,0,0,0,0,0,0,0,0,0,0,92677,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APLO,1139000,368522,0,0,0,Ä,0,0,0,0,0,0,0,0,0,0,,0,,NA,NA,"24,263","20,463",0,-680,0,-746,0,"514,493",1,680,746,0,-66,,"24,263","25,009","24,197","24,443",,APLO,47.16,48.61,47.03,47.51,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,212",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,217",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20,463",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9444,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARBV,5687282,3388482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,NA,NA,"112,714","129,316","4,897","-15,532","-1,541","-17,018","-1,431","5,810,042",1,"15,532","17,018","-1,541","-2,917",,"112,714","129,732","109,797","124,905",,ARBV,19.40,22.33,18.90,21.50,,"41,416",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39,362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"41,398",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39,490",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"196,353",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"175,644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"200,624",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"177,934",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"129,316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,897",0,0,0,0,0,0,0,0,0,0,0,0,0,0,80442,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AROW,1048812,866000,1211371,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,NA,"383,230",NA,"379,175","25,359","-20,938",-867,"-27,420","-1,256","16,483,726",0,"20,938","27,420",-867,"-7,739",,"383,230","404,168","382,363","398,652",,AROW,23.25,24.52,23.20,24.18,,"97,491",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"96,335",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"98,261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"96,586",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"473,660",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"445,743",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"499,673",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"463,113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"379,175",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"25,359",0,0,0,0,0,0,0,0,0,0,0,0,0,0,91929,0,0,0,0,0,0,0,0,0,0,0,0,0,0
