Company Name,Type,RSSD ID,City,State,MRQ,Total Assets,HTM Securities: Cost,HTM Securities: FMV,HTM Securities: Cost,HTM Securities: FMV,AFS Securities: Cost,AFS Securities: FMV,AFS Securities: Cost,AFS Securities: FMV,Tangible Common Equity,Goodwill,Other Intangibles,Municipals,,,,,,,,,,,,,,,,,,,,,,
[Do not alter shaded columns]                             QA Field ID,,,,,,,2916,2917,2916,2917,2897,2898,2897,2898,1790,6,1825,2921,,,,,,,,,,,,,,,,,,,,,,
Field Type,,,,,,,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,,,,,,,,,,,,,,,,,,,,,,
Period,,,,,,,3/31/25,3/31/25,12/31/24,12/31/24,3/31/25,3/31/25,12/31/24,12/31/24,3/31/25,3/31/25,3/31/25,3/31/25,,,,,,,,,,,,,,,,,,,,,,
Duration,,,,,,MRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access Bank,Bank,3614837,Omaha,NE,3/31/2025,"966,272","18,965","17,793","20,541","19,211","78,797","69,825","74,697","64,559","91,624","9,047",523,"6,182",,9570,,,,,,,,,,,,,,,,,,,,
ACNB Bank,Bank,5210,Gettysburg,PA,3/31/2025,"3,252,111","64,554","56,219","64,578","56,924","495,525","455,819","441,638","393,975","295,480","56,065","19,334","62,985",,75399,,,,,,,,,,,,,,,,,,,,
ADAMS BANK & TRUST,Bank,463650,Ogallala,NE,3/31/2025,"1,344,993","329,740","313,397","359,028","331,900","4,053","3,409","4,056","3,326","134,856",0,0,"21,733",,0,,,,,,,,,,,,,,,,,,,,
Adams Community Bank,Bank,343903,Adams,MA,3/31/2025,"1,046,097",0,0,0,0,"113,733","102,176","113,186","100,116","90,020","8,010",0,"35,358",,8010,,,,,,,,,,,,,,,,,,,,
Adams County Bank,Bank,9553,Kenesaw,NE,3/31/2025,"241,072","29,966","27,415","29,977","27,910","38,452","33,800","38,274","33,162","20,617",0,0,"41,094",,0,,,,,,,,,,,,,,,,,,,,
Adams State Bank,Bank,332756,Adams,NE,3/31/2025,"73,220",0,0,0,0,"13,617","13,037","15,938","15,229","10,133",0,0,"2,416",,0,,,,,,,,,,,,,,,,,,,,
Adelphi Bank,Bank,5777549,Columbus,OH,3/31/2025,"77,743",0,0,0,0,701,700,0,0,"19,053",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Adirondack Bank,Bank,101671,Utica,NY,3/31/2025,"994,373","4,412","4,511","5,232","5,368","297,696","278,472","251,539","227,815","66,540","2,023",0,"21,064",,2023,,,,,,,,,,,,,,,,,,,,
"Adirondack Trust Company, The",Bank,645317,Saratoga Springs,NY,3/31/2025,"1,643,685",0,0,0,0,"417,590","393,197","443,204","412,783","152,099","17,890","2,527","14,857",,20417,,,,,,,,,,,,,,,,,,,,
ADP TRUST COMPANY NATIONAL ASSOCIATION,Bank,5397639,Wilmington,DE,3/31/2025,"40,879",0,0,0,0,"25,810","25,810","17,864","17,864","35,017",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Adrian Bank,Bank,94858,Adrian,MO,3/31/2025,"179,900",0,0,0,0,"57,148","51,166","60,677","54,411","16,771",0,0,"32,624",,0,,,,,,,,,,,,,,,,,,,,
Adrian State Bank,Bank,293352,Adrian,MN,3/31/2025,"59,604",0,0,0,0,"6,293","6,125","6,729","6,495","6,168",0,0,"1,633",,0,,,,,,,,,,,,,,,,,,,,
"Affinity Bank, National Association",Bank,321273,Covington,GA,3/31/2025,"911,705","27,383","27,505","27,344","27,285","47,777","40,978","44,148","36,501","88,834","17,219",908,"2,136",,18127,,,,,,,,,,,,,,,,,,,,
"Agility Bank, N.A.",Bank,5728916,Houston,TX,3/31/2025,"126,417",0,0,0,0,"3,610","3,602","3,618","3,590","29,194",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Alamerica Bank,Bank,2877484,Birmingham,AL,3/31/2025,"18,839",0,0,0,0,"2,811","2,706","2,895","2,741","2,621",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Alamosa State Bank,Bank,869953,Alamosa,CO,3/31/2025,"323,882","6,223","6,136","6,253","6,146","89,285","86,832","92,375","88,837","36,551",0,0,"6,223",,0,,,,,,,,,,,,,,,,,,,,
"Albany Bank & Trust Co., National Association",Bank,2732,Chicago,IL,3/31/2025,"705,645",0,0,0,0,"32,054","31,709","35,292","34,776","118,199",0,"1,112","14,011",,1112,,,,,,,,,,,,,,,,,,,,
Alden State Bank,Bank,414102,Alden,NY,3/31/2025,"441,120","37,252","34,521","37,503","34,644","29,307","29,265","28,579","28,171","64,594",0,0,"22,395",,0,,,,,,,,,,,,,,,,,,,,
Alden State Bank,Bank,388744,Alden,MI,3/31/2025,"319,231",0,0,0,0,"77,759","75,987","79,717","76,921","35,896",0,0,"6,790",,0,,,,,,,,,,,,,,,,,,,,
"Alerus Financial, National Association",Bank,933256,Grand Forks,ND,3/31/2025,"5,326,806","268,760","234,577","275,716","236,987","652,004","567,728","686,556","588,053","392,339","85,634","41,172","115,636",,126806,,,,,,,,,,,,,,,,,,,,
All America Bank,Bank,25357,Oklahoma City,OK,3/31/2025,"612,798","18,350","16,098","18,903","16,550","57,178","56,649","57,768","56,956","61,735",79,0,"9,258",,79,,,,,,,,,,,,,,,,,,,,
All Capital Bank,Bank,14650,Locust Grove,OK,3/31/2025,"118,675","6,355","6,338","5,056","5,022",0,0,0,0,"11,288",0,0,"3,557",,0,,,,,,,,,,,,,,,,,,,,
