Company Name,Type,RSSD ID,City,State,MRQ,Total Assets,HTM Securities: Cost,HTM Securities: FMV,HTM Securities: Cost,HTM Securities: FMV,AFS Securities: Cost,AFS Securities: FMV,AFS Securities: Cost,AFS Securities: FMV,Tangible Common Equity,Goodwill,Other Intangibles,Municipals,,,,,,,,,,,,,,,,,,,,,,
[Do not alter shaded columns]                             QA Field ID,,,,,,,2916,2917,2916,2917,2897,2898,2897,2898,1790,6,1825,2921,,,,,,,,,,,,,,,,,,,,,,
Field Type,,,,,,,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,,,,,,,,,,,,,,,,,,,,,,
Period,,,,,,,3/31/25,3/31/25,12/31/24,12/31/24,3/31/25,3/31/25,12/31/24,12/31/24,3/31/25,3/31/25,3/31/25,3/31/25,,,,,,,,,,,,,,,,,,,,,,
Duration,,,,,,MRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CedarStone Bank,Bank,3262788,Lebanon,TN,3/31/2025,"353,463","8,061","6,282","8,169","6,221","52,908","49,570","54,139","50,847","28,612",0,0,"28,288",,0,,,,,,,,,,,,,,,,,,,,
Celtic Bank Corporation,Bank,2998576,Salt Lake City,UT,3/31/2025,"4,004,278","352,750","346,508","333,884","325,554",71,71,71,71,"719,298",0,"6,440",74,,6440,,,,,,,,,,,,,,,,,,,,
Cenbank,Bank,308256,Buffalo Lake,MN,3/31/2025,"76,519","13,083","12,813","12,611","12,253","13,010","12,999","13,855","13,793","6,089",0,0,"5,999",,0,,,,,,,,,,,,,,,,,,,,
"Cendera Bank, N.A.",Bank,89957,Bells,TX,3/31/2025,"227,031",0,0,0,0,"7,033","7,014","8,611","8,487","26,113",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Cenlar Fsb,Bank,934271,Ewing,NJ,3/31/2025,"909,242","502,264","445,311","520,438","454,256","1,427","1,394","1,468","1,432","138,441",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Centennial Bank,Bank,531250,Trezevant,TN,3/31/2025,"796,946",0,0,0,0,"59,467","54,557","61,703","56,101","79,833","2,337","1,290","10,457",,3627,,,,,,,,,,,,,,,,,,,,
Centennial Bank,Bank,456045,Conway,AR,3/31/2025,"22,918,993","1,271,901","1,155,267","1,277,209","1,144,945","3,297,048","3,003,320","3,407,088","3,071,649","2,418,200","1,398,253","38,280","1,963,515",,1436533,,,,,,,,,,,,,,,,,,,,
Center National Bank,Bank,1017957,Litchfield,MN,3/31/2025,"245,991","17,890","15,341","18,221","15,563","55,773","51,540","57,253","52,231","21,616",0,0,"17,890",,0,,,,,,,,,,,,,,,,,,,,
Centera Bank,Bank,51459,Sublette,KS,3/31/2025,"332,113",0,0,0,0,"151,174","140,231","144,449","131,501","18,782","1,352",0,"30,224",,1352,,,,,,,,,,,,,,,,,,,,
Centier Bank,Bank,783648,Merrillville,IN,3/31/2025,"9,470,954",0,0,0,0,"1,549,414","1,445,663","1,507,895","1,389,213","867,303",0,0,"246,876",,0,,,,,,,,,,,,,,,,,,,,
Centinel Bank Of Taos,Bank,800853,Taos,NM,3/31/2025,"417,651","42,280","35,219","42,332","34,494","152,705","143,066","154,676","142,816","28,718",0,0,"64,454",,0,,,,,,,,,,,,,,,,,,,,
Central Bank,Bank,31255,Houston,TX,3/31/2025,"1,216,776",0,0,0,0,"199,482","189,825","176,630","164,414","111,111",933,0,"112,489",,933,,,,,,,,,,,,,,,,,,,,
Central Bank,Bank,546544,Storm Lake,IA,3/31/2025,"2,189,571","10,821","10,693","11,007","10,924","120,419","114,664","119,577","112,576","189,762","10,708","1,453","37,664",,12161,,,,,,,,,,,,,,,,,,,,
Central Bank,Bank,622774,Provo,UT,3/31/2025,"2,024,344",0,0,0,0,"619,227","588,719","640,452","600,572","269,810",0,"7,113","12,479",,7113,,,,,,,,,,,,,,,,,,,,
Central Bank,Bank,3488579,Little Rock,AR,3/31/2025,"750,697",0,0,0,0,"50,599","47,641","53,433","49,963","74,299",250,0,"15,919",,250,,,,,,,,,,,,,,,,,,,,
Central Bank,Bank,265676,Savannah,TN,3/31/2025,"139,608",0,0,0,0,"35,759","31,906","36,060","31,686","15,430",0,0,"6,370",,0,,,,,,,,,,,,,,,,,,,,
Central Bank,Bank,3468450,Tampa,FL,3/31/2025,"352,443","8,032","7,478","8,069","7,486","18,318","17,995","18,600","17,894","29,620",0,278,"4,278",,278,,,,,,,,,,,,,,,,,,,,
Central Bank & Trust Company,Bank,1007015,Lexington,KY,3/31/2025,"3,747,261","4,278","3,979","4,573","4,209","483,004","467,028","479,348","460,431","431,116","14,313",0,"3,125",,14313,,,,,,,,,,,,,,,,,,,,
Central Bank And Trust,Bank,903950,Lander,WY,3/31/2025,"204,028","40,034","38,885","39,628","38,104","41,315","40,984","41,316","40,779","16,454",0,0,"4,960",,0,,,,,,,,,,,,,,,,,,,,
Central Bank Illinois,Bank,931038,Geneseo,IL,3/31/2025,"1,390,485","1,885","1,885","1,885","1,885","315,793","287,954","356,506","324,202","122,052","9,017",597,"195,567",,9614,,,,,,,,,,,,,,,,,,,,
Central Bank Of Kansas City,Bank,751852,Kansas City,MO,3/31/2025,"348,222",0,0,0,0,"27,364","27,174","27,438","27,129","48,053","2,442",0,0,,2442,,,,,,,,,,,,,,,,,,,,
Central Federal Savings And Loan Association,Bank,467470,Cicero,IL,3/31/2025,"194,039",0,0,0,0,"37,666","35,548","39,882","37,438","18,475",0,0,"6,990",,0,,,,,,,,,,,,,,,,,,,,
Central National Bank,Bank,234355,Junction City,KS,3/31/2025,"1,265,063",353,345,353,348,"423,243","400,309","426,211","399,751","125,523",0,0,"90,055",,0,,,,,,,,,,,,,,,,,,,,
Central National Bank,Bank,428060,Waco,TX,3/31/2025,"1,275,478",0,0,0,0,"134,664","121,861","132,600","117,479","117,593",0,0,"7,865",,0,,,,,,,,,,,,,,,,,,,,
Central Pacific Bank,Bank,701062,Honolulu,HI,3/31/2025,"7,392,938","589,688","511,717","596,930","506,681","871,208","780,379","843,774","737,658","637,245",0,0,"160,641",,0,,,,,,,,,,,,,,,,,,,,
Central Savings Bank,Bank,382050,Sault Sainte Marie,MI,3/31/2025,"456,290",0,0,0,0,"132,139","122,377","127,590","116,125","34,927",0,0,"36,368",,0,,,,,,,,,,,,,,,,,,,,
"Central Savings, F.S.B.",Bank,615879,Chicago,IL,3/31/2025,"115,433",0,0,0,0,0,0,0,0,"28,257","1,014",0,0,,1014,,,,,,,,,,,,,,,,,,,,
Central State Bank,Bank,607146,State Center,IA,3/31/2025,"551,738","2,000","1,701","2,000","1,705","94,302","88,012","90,488","82,939","50,547",0,0,"37,977",,0,,,,,,,,,,,,,,,,,,,,
Central State Bank,Bank,152440,Clayton,IL,3/31/2025,"181,101",0,0,0,0,"14,142","13,309","12,033","11,035","29,229",0,0,"4,489",,0,,,,,,,,,,,,,,,,,,,,
Central State Bank,Bank,678744,Coralville,IA,3/31/2025,"460,357",0,0,0,0,"65,273","56,949","66,339","57,242","34,423","4,979",130,"12,252",,5109,,,,,,,,,,,,,,,,,,,,
Central State Bank,Bank,353238,Calera,AL,3/31/2025,"686,711",4,3,4,3,"88,848","83,125","101,161","94,313","62,547",0,0,"13,936",,0,,,,,,,,,,,,,,,,,,,,
"Central Trust Bank, The",Bank,853952,Jefferson City,MO,3/31/2025,"19,551,204","3,241","3,230","3,246","3,231","5,881,424","5,750,173","5,793,281","5,602,102","1,505,050","348,237","5,847","22,783",,354084,,,,,,,,,,,,,,,,,,,,
Centrebank,Bank,163343,Veedersburg,IN,3/31/2025,"107,487",0,0,0,0,0,0,0,0,"17,998",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Centreville Bank,Bank,876700,West Warwick,RI,3/31/2025,"2,816,856",0,0,0,0,"300,875","268,418","289,468","255,051","349,037","33,354",75,"87,058",,33429,,,,,,,,,,,,,,,,,,,,
Century Bank,Bank,83375,Santa Fe,NM,3/31/2025,"1,432,531","151,480","139,595","151,480","142,269","232,514","221,120","241,509","226,987","114,629",0,0,"213,965",,0,,,,,,,,,,,,,,,,,,,,
Century Bank,Bank,58636,Lucedale,MS,3/31/2025,"546,723",0,0,0,0,"122,711","111,205","114,510","101,782","43,476",417,0,"36,768",,417,,,,,,,,,,,,,,,,,,,,
Century Bank & Trust,Bank,944337,Milledgeville,GA,3/31/2025,"364,121","36,377","34,057","36,642","33,925","104,120","93,013","106,516","94,502","33,772",0,0,"49,040",,0,,,,,,,,,,,,,,,,,,,,
Century Bank And Trust,Bank,694847,Coldwater,MI,3/31/2025,"483,347","12,682","11,904","12,813","12,813","134,791","130,793","128,883","123,310","60,116",0,0,"12,682",,0,,,,,,,,,,,,,,,,,,,,
Century Bank Of Florida,Bank,2939001,Tampa,FL,3/31/2025,"105,335",0,0,0,0,"15,695","14,299","15,793","14,185","8,400",0,0,"9,761",,0,,,,,,,,,,,,,,,,,,,,
"Century Bank Of Kentucky, Inc.",Bank,2920287,Lawrenceburg,KY,3/31/2025,"195,623",0,0,0,0,"49,966","47,154","47,277","43,780","16,234",0,0,"4,587",,0,,,,,,,,,,,,,,,,,,,,
Century Bank Of The Ozarks,Bank,904359,Gainesville,MO,3/31/2025,"271,249",0,0,0,0,"2,795","2,730","4,009","3,910","24,734",634,0,177,,634,,,,,,,,,,,,,,,,,,,,
Century Next Bank,Bank,345877,Ruston,LA,3/31/2025,"909,382","1,735","1,355","1,767","1,386","108,183","107,684","98,561","96,691","91,017","2,227",881,"22,496",,3108,,,,,,,,,,,,,,,,,,,,
Century Savings and Loan Association,Bank,401072,Trinidad,CO,3/31/2025,"75,417",0,0,0,0,"31,984","27,194","32,425","26,640","10,447",0,0,655,,0,,,,,,,,,,,,,,,,,,,,
Century Savings Bank,Bank,392778,Vineland,NJ,3/31/2025,"640,174","31,105","27,260","31,287","26,761","260,315","215,888","263,116","214,312","50,192",0,0,"43,520",,0,,,,,,,,,,,,,,,,,,,,
Cerescobank,Bank,75651,Ceresco,NE,3/31/2025,"75,431",0,0,0,0,"32,878","30,736","34,001","31,830","8,351",0,0,"4,255",,0,,,,,,,,,,,,,,,,,,,,
"Cetera Trust Company, N.A.",Bank,3089752,Saint Paul,MN,3/31/2025,"17,430",0,0,0,0,"11,491","11,869","11,459","11,715","13,746","1,581",927,0,,2508,,,,,,,,,,,,,,,,,,,,
"CF Bank, National Association",Bank,767974,Columbus,OH,3/31/2025,"2,092,547",0,0,0,0,"10,976","8,793","10,965","8,683","214,614",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
CFG Community Bank,Bank,2471239,Lutherville,MD,3/31/2025,"5,425,933","118,192","116,996","133,705","131,922","974,633","965,401","869,976","850,467","581,116","1,233",0,0,,1233,,,,,,,,,,,,,,,,,,,,
CFSBANK,Bank,100777,Charleroi,PA,3/31/2025,"755,663","29,920","26,714","31,154","27,767","219,040","204,437","224,466","206,983","70,676",189,2,"14,566",,191,,,,,,,,,,,,,,,,,,,,
"Chain Bridge Bank, National Association",Bank,3597211,Mc Lean,VA,3/31/2025,"1,726,751","295,575","277,981","300,653","278,951","484,390","479,205","365,323","358,329","138,497",0,0,"216,423",,0,,,,,,,,,,,,,,,,,,,,
Chambers Bank,Bank,517049,Danville,AR,3/31/2025,"1,413,654",0,0,0,0,"50,014","50,242","54,503","54,600","176,219","5,267",812,"11,918",,6079,,,,,,,,,,,,,,,,,,,,
Chambers State Bank,Bank,416357,Chambers,NE,3/31/2025,"87,578","2,370","2,336","2,155","2,105",0,0,0,0,"20,035",0,0,120,,0,,,,,,,,,,,,,,,,,,,,
Champion Bank,Bank,2901558,Parker,CO,3/31/2025,"48,615",0,0,0,0,"14,013","13,263","14,209","13,252","16,565",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Champlain National Bank,Bank,126012,Elizabethtown,NY,3/31/2025,"496,551","5,395","5,395","4,473","4,473","133,933","111,523","133,847","110,153","29,752",0,0,"32,407",,0,,,,,,,,,,,,,,,,,,,,
Charles River Bank,Bank,947776,Medway,MA,3/31/2025,"312,446",0,0,0,0,"58,980","50,139","60,208","50,051","18,850",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
"Charles Schwab Bank, Ssb",Bank,3150447,Westlake,TX,3/31/2025,"260,404,000","122,967,000","113,187,000","125,475,000","113,022,000","69,977,000","64,748,000","78,772,000","72,537,000","21,280,000","17,000",0,"554,000",,17000,,,,,,,,,,,,,,,,,,,,
"Charles Schwab Premier Bank, Ssb",Bank,1893049,Westlake,TX,3/31/2025,"25,262,000","15,829,000","15,093,000","16,241,000","15,170,000","4,942,000","4,725,000","5,604,000","5,348,000","2,333,000",0,"1,000",0,,1000,,,,,,,,,,,,,,,,,,,,
CHARLES SCHWAB TRUST BANK,Bank,5278251,Westlake,TX,3/31/2025,"9,831,340","5,019,232","4,796,867","4,737,144","4,414,039","3,572,577","3,378,603","3,347,108","3,127,398","791,513",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Charlevoix State Bank,Bank,2232757,Charlevoix,MI,3/31/2025,"236,885",0,0,0,0,"84,714","81,782","94,985","91,021","22,281",0,0,"14,183",,0,,,,,,,,,,,,,,,,,,,,
Charter Bank,Bank,814458,Corpus Christi,TX,3/31/2025,"292,258",0,0,0,0,"110,661","96,912","114,636","101,093","20,512",0,0,"96,762",,0,,,,,,,,,,,,,,,,,,,,
Charter Bank,Bank,2705112,Johnston,IA,3/31/2025,"212,715",0,0,0,0,"51,920","48,612","54,185","50,449","20,260",0,0,"27,203",,0,,,,,,,,,,,,,,,,,,,,
Charter West Bank,Bank,582953,West Point,NE,3/31/2025,"483,970","6,578","6,118","6,609","6,143","24,869","22,540","25,081","22,406","41,000",616,0,"6,578",,616,,,,,,,,,,,,,,,,,,,,
Chelsea Groton Bank,Bank,345309,Groton,CT,3/31/2025,"1,711,966","3,404","3,214","3,786","3,533","301,749","274,806","310,897","278,636","243,640",0,0,"18,627",,0,,,,,,,,,,,,,,,,,,,,
Chelsea Savings Bank,Bank,771748,Belle Plaine,IA,3/31/2025,"190,850",0,0,0,0,"119,049","105,190","123,030","107,937","17,941",710,165,"79,094",,875,,,,,,,,,,,,,,,,,,,,
Chelsea State Bank,Bank,711548,Chelsea,MI,3/31/2025,"414,015",0,0,0,0,"100,091","92,252","101,878","93,910","44,008",0,0,"47,735",,0,,,,,,,,,,,,,,,,,,,,
Chemung Canal Trust Company,Bank,884303,Elmira,NY,3/31/2025,"2,796,650",808,808,808,808,"603,125","528,327","617,269","531,442","200,922","21,824",0,"36,076",,21824,,,,,,,,,,,,,,,,,,,,
Cherokee State Bank,Bank,205542,Cherokee,IA,3/31/2025,"264,683",0,0,0,0,"84,952","72,316","85,055","71,134","23,909",0,0,"22,804",,0,,,,,,,,,,,,,,,,,,,,
Chesapeake Bank,Bank,214722,Kilmarnock,VA,3/31/2025,"1,601,985",0,0,0,0,"576,268","545,673","540,018","498,775","144,416","5,292","1,778","113,646",,7070,,,,,,,,,,,,,,,,,,,,
Chesapeake Bank & Trust Company,Bank,304520,Chestertown,MD,3/31/2025,"128,868",0,0,0,0,"19,465","19,527","19,489","19,528","12,881",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
CHESTER NATIONAL BANK,Bank,231279,Chester,IL,3/31/2025,"101,339",0,0,0,0,"1,100","1,082","4,100","4,059","6,373",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
CHESTERFIELD STATE BANK,Bank,767246,Chesterfield,IL,3/31/2025,"23,096",0,0,0,0,740,652,754,659,"1,968",0,0,209,,0,,,,,,,,,,,,,,,,,,,,
Cheyenne State Bank,Bank,3032833,Cheyenne,WY,3/31/2025,"40,585",0,0,0,0,"5,132","4,780","5,292","4,855","6,409",0,0,604,,0,,,,,,,,,,,,,,,,,,,,
"CHICAGO TRUST COMPANY, N. A., THE",Bank,2719810,Lake Forest,IL,3/31/2025,"129,704",0,0,0,0,"15,792","15,816","12,464","12,475","125,276","2,965",0,"2,822",,2965,,,,,,,,,,,,,,,,,,,,
Chickasaw Community Bank,Bank,64552,Oklahoma City,OK,3/31/2025,"459,393",0,0,0,0,"32,263","28,660","29,598","25,503","60,240",139,0,708,,139,,,,,,,,,,,,,,,,,,,,
Chillicothe State Bank,Bank,504142,Chillicothe,MO,3/31/2025,"137,369",0,0,0,0,"52,039","50,096","54,841","52,312","10,532",0,0,"5,213",,0,,,,,,,,,,,,,,,,,,,,
"Chilton Trust Company, National Association",Bank,4397164,Palm Beach,FL,3/31/2025,"22,218",0,0,0,0,"12,808","12,811","12,694","12,706","15,176",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
"Chino Commercial Bank, National Association",Bank,2925620,Chino,CA,3/31/2025,"470,999","185,243","171,350","190,702","173,224","7,536","6,348","7,571","6,558","49,716",0,0,"6,348",,0,,,,,,,,,,,,,,,,,,,,
Chippewa Valley Bank,Bank,779650,Hayward,WI,3/31/2025,"695,830","113,646","113,821","113,441","113,445",0,0,0,0,"61,937",326,74,"1,410",,400,,,,,,,,,,,,,,,,,,,,
Choice Financial Group,Bank,826956,Fargo,ND,3/31/2025,"5,629,168",0,0,0,0,"1,784,581","1,767,203","1,601,674","1,572,021","561,114","55,023","3,214","65,093",,58237,,,,,,,,,,,,,,,,,,,,
ChoiceOne Bank,Bank,324340,Sparta,MI,3/31/2025,"4,300,782","394,434","344,222","394,534","338,993","553,407","480,650","539,786","479,117","312,022","126,515","35,153","424,237",,161668,,,,,,,,,,,,,,,,,,,,
CIBC Bank USA,Bank,1842065,Chicago,IL,3/31/2025,"61,303,250","2,106,526","2,014,178","2,470,063","2,349,800","6,610,546","6,535,553","6,186,899","6,047,226","7,551,327","2,822,623","7,191",0,,2829814,,,,,,,,,,,,,,,,,,,,
CIBC NATIONAL TRUST COMPANY,Bank,975751,Atlanta,GA,3/31/2025,"377,428",0,0,0,0,0,0,0,0,"152,743","105,937","3,748",0,,109685,,,,,,,,,,,,,,,,,,,,
CIBM BANK,Bank,340742,Champaign,IL,3/31/2025,"843,905",0,0,0,0,"127,370","121,938","125,220","118,206","80,012",64,0,"21,144",,64,,,,,,,,,,,,,,,,,,,,
Ciera Bank,Bank,327855,Graham,TX,3/31/2025,"924,498",0,0,0,0,"63,539","55,908","63,857","56,419","94,651","5,978",0,"55,908",,5978,,,,,,,,,,,,,,,,,,,,
"Cincinnatus Savings And Loan Company, The",Bank,815772,Cheviot,OH,3/31/2025,"172,630",0,0,0,0,"29,752","28,332","29,163","27,479","25,989",0,230,"5,903",,230,,,,,,,,,,,,,,,,,,,,
"Citibank, N.A.",Bank,476810,Sioux Falls,SD,3/31/2025,"1,760,921,000","216,304,000","201,321,000","237,931,000","220,258,000","201,847,000","200,575,000","203,522,000","201,905,000","160,245,000","9,306,000","3,447,000","10,085,000",,12753000,,,,,,,,,,,,,,,,,,,,
"Citicorp Trust Delaware, National Association",Bank,449038,Greenville,DE,3/31/2025,"25,229",0,0,0,0,217,213,217,216,"23,612",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Citizens & Northern Bank,Bank,895710,Wellsboro,PA,3/31/2025,"2,596,960",0,0,0,0,"439,084","397,209","438,158","391,142","236,955","52,505","1,990","131,481",,54495,,,,,,,,,,,,,,,,,,,,
Citizens 1st Bank,Bank,869663,Tyler,TX,3/31/2025,"772,873",0,0,0,0,"313,735","280,278","321,443","284,402","128,960",0,0,"172,024",,0,,,,,,,,,,,,,,,,,,,,
Citizens Alliance Bank,Bank,279954,Clara City,MN,3/31/2025,"1,586,822",0,0,0,0,"348,049","323,630","354,721","327,639","115,344","11,456","5,237","161,369",,16693,,,,,,,,,,,,,,,,,,,,
Citizens And Farmers Bank,Bank,928421,West Point,VA,3/31/2025,"2,591,080",0,0,0,0,"455,669","431,513","448,616","418,625","240,826","25,191","1,084","143,496",,26275,,,,,,,,,,,,,,,,,,,,
Citizens Bank,Bank,778738,Elizabethton,TN,3/31/2025,"1,307,155","64,181","60,954","64,172","62,525","127,028","126,007","121,747","120,957","167,964","3,643","1,332","95,511",,4975,,,,,,,,,,,,,,,,,,,,
Citizens Bank,Bank,514132,Columbia,MS,3/31/2025,"474,772",0,0,0,0,"79,440","74,786","76,134","70,471","54,289",0,0,"4,635",,0,,,,,,,,,,,,,,,,,,,,
Citizens Bank,Bank,126834,Carthage,TN,3/31/2025,"797,824",0,0,0,0,"363,350","315,887","361,176","310,872","95,668",0,0,"264,877",,0,,,,,,,,,,,,,,,,,,,,
Citizens Bank,Bank,744854,Kilgore,TX,3/31/2025,"487,972",208,206,222,220,"81,866","79,683","92,245","89,067","69,558",0,0,"4,452",,0,,,,,,,,,,,,,,,,,,,,
Citizens Bank,Bank,885252,Amarillo,TX,3/31/2025,"261,514",0,0,0,0,"20,370","19,411","21,073","19,770","26,851",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Citizens Bank,Bank,44741,Mooresville,IN,3/31/2025,"656,950",0,0,0,0,"187,109","178,288","177,839","168,895","58,448",0,0,"124,918",,0,,,,,,,,,,,,,,,,,,,,
Citizens Bank,Bank,63733,Lafayette,TN,3/31/2025,"1,698,790",0,0,0,0,"426,836","396,591","422,709","386,458","139,096","15,973",934,"80,564",,16907,,,,,,,,,,,,,,,,,,,,
Citizens Bank,Bank,840019,Mount Vernon,KY,3/31/2025,"237,114",0,0,0,0,"19,473","18,805","20,085","19,299","17,818",500,0,"2,741",,500,,,,,,,,,,,,,,,,,,,,
Citizens Bank,Bank,783844,Mukwonago,WI,3/31/2025,"1,113,592",0,0,"4,829","4,799","257,322","242,315","236,079","218,147","136,995",0,198,"54,488",,198,,,,,,,,,,,,,,,,,,,,
Citizens Bank,Bank,97457,Butler,MO,3/31/2025,"193,040",0,0,0,0,"7,431","7,403","8,249","8,198","17,316",0,174,"4,948",,174,,,,,,,,,,,,,,,,,,,,
Citizens Bank,Bank,98463,Corvallis,OR,3/31/2025,"798,513",0,0,0,0,"365,190","320,906","377,217","326,126","79,179",0,0,"30,398",,0,,,,,,,,,,,,,,,,,,,,
Citizens Bank,Bank,1001853,New Haven,MO,3/31/2025,"336,708",0,0,0,0,"8,368","8,256","7,709","7,576","43,084",0,0,"6,288",,0,,,,,,,,,,,,,,,,,,,,
Citizens Bank & Trust,Bank,3174920,Guntersville,AL,3/31/2025,"1,104,951","35,155","31,920","36,055","31,937","313,525","269,182","330,788","279,960","63,171",0,0,"24,803",,0,,,,,,,,,,,,,,,,,,,,
Citizens Bank & Trust,Bank,964250,Rock Port,MO,3/31/2025,"109,952",0,0,0,0,"50,259","47,571","49,524","46,261","10,198",50,0,"3,694",,50,,,,,,,,,,,,,,,,,,,,
Citizens Bank & Trust Co. Of Jackson,Bank,765318,Jackson,KY,3/31/2025,"210,102",0,0,0,0,"23,776","23,534","25,752","25,320","19,073","2,170",0,0,,2170,,,,,,,,,,,,,,,,,,,,
"Citizens Bank & Trust Co., Hutchinson, Minn.",Bank,56258,Hutchinson,MN,3/31/2025,"312,834",0,0,0,0,"141,104","125,437","144,081","126,719","10,609",0,0,"46,306",,0,,,,,,,,,,,,,,,,,,,,
Citizens Bank & Trust Company,Bank,925055,Saint Paul,NE,3/31/2025,"236,941","10,276","9,481","10,276","9,639","76,918","68,963","78,750","69,788","20,779",0,0,"37,110",,0,,,,,,,,,,,,,,,,,,,,
Citizens Bank & Trust Company,Bank,384830,Covington,LA,3/31/2025,"186,757",0,0,0,0,"26,168","23,806","26,331","23,513","17,332",0,0,"1,359",,0,,,,,,,,,,,,,,,,,,,,
Citizens Bank & Trust Company,Bank,192147,Van Buren,AR,3/31/2025,"539,218","23,518","21,891","23,713","22,000","125,510","116,169","132,725","121,434","57,446",477,0,"67,856",,477,,,,,,,,,,,,,,,,,,,,
Citizens Bank & Trust Company,Bank,829041,Campbellsville,KY,3/31/2025,"339,332",0,0,0,0,"127,400","120,639","124,242","116,537","42,017",0,0,"48,605",,0,,,,,,,,,,,,,,,,,,,,
Citizens Bank & Trust Company,Bank,657758,Big Timber,MT,3/31/2025,"148,216",0,0,0,0,"37,239","35,622","38,369","36,365","12,627","1,901",0,"10,082",,1901,,,,,,,,,,,,,,,,,,,,
Citizens Bank & Trust Company Of Ardmore,Bank,255556,Ardmore,OK,3/31/2025,"318,713","31,920","29,091","32,220","28,889","64,718","58,567","66,432","59,408","25,614",0,0,"30,504",,0,,,,,,,,,,,,,,,,,,,,
"Citizens Bank & Trust Company of Vivian, Louisiana",Bank,767554,Vivian,LA,3/31/2025,"155,904","2,815","2,815","2,815","2,815","76,025","67,124","77,225","67,493","9,235",780,0,"30,380",,780,,,,,,,,,,,,,,,,,,,,
Citizens Bank and Trust,Bank,701839,Frostproof,FL,3/31/2025,"1,396,591",0,0,0,0,"578,542","503,902","601,045","517,154","35,848",0,0,"33,870",,0,,,,,,,,,,,,,,,,,,,,
Citizens Bank And Trust Company,Bank,991621,Blackstone,VA,3/31/2025,"566,488",0,0,0,0,"230,935","219,259","239,333","224,649","70,388",0,0,"23,244",,0,,,,,,,,,,,,,,,,,,,,
Citizens Bank And Trust Company,Bank,729945,Marks,MS,3/31/2025,"105,925","13,322","12,643","12,118","11,351",0,0,0,0,"12,749",0,0,"1,960",,0,,,,,,,,,,,,,,,,,,,,
Citizens Bank And Trust Company,Bank,357937,Plaquemine,LA,3/31/2025,"445,946","37,614","36,353","38,972","37,396","33,024","32,103","33,963","32,680","50,164",0,0,"12,785",,0,,,,,,,,,,,,,,,,,,,,
Citizens Bank And Trust Company Of Grainger County,Bank,715630,Rutledge,TN,3/31/2025,"268,711",0,0,0,0,"154,103","132,911","155,445","132,863","25,117",0,0,"70,323",,0,,,,,,,,,,,,,,,,,,,,
"Citizens Bank And Trust Of Lebanon, Inc.",Bank,641449,Lebanon,KY,3/31/2025,"157,840",0,0,0,0,"101,952","91,359","100,481","89,313","7,624",0,0,"32,725",,0,,,,,,,,,,,,,,,,,,,,
"Citizens Bank And Trust, Inc.",Bank,1163283,Trenton,GA,3/31/2025,"131,642","9,580","8,631","9,861","8,793","26,288","23,824","25,580","22,596","13,143",0,0,"9,580",,0,,,,,,,,,,,,,,,,,,,,
"Citizens Bank Company, The",Bank,1010015,Beverly,OH,3/31/2025,"322,267","27,854","25,206","27,661","25,605","83,557","78,921","83,719","79,567","35,176",0,0,"104,918",,0,,,,,,,,,,,,,,,,,,,,
Citizens Bank Minnesota,Bank,874050,New Ulm,MN,3/31/2025,"577,056",0,0,0,0,"160,523","148,524","152,556","138,232","44,633","3,077",936,"25,158",,4013,,,,,,,,,,,,,,,,,,,,
Citizens Bank Of Ada,Bank,807656,Ada,OK,3/31/2025,"325,676","39,813","39,517","38,368","37,560","68,680","67,574","70,764","68,771","28,325",0,0,"8,373",,0,,,,,,,,,,,,,,,,,,,,
Citizens Bank Of Americus,Bank,19936,Americus,GA,3/31/2025,"483,621",622,602,"5,654","5,607","115,780","107,536","115,262","105,513","40,957",0,0,"16,463",,0,,,,,,,,,,,,,,,,,,,,
Citizens' Bank Of Charleston,Bank,376947,Charleston,MO,3/31/2025,"180,006",0,0,0,0,"18,742","18,250","22,849","22,141","34,636",0,0,"2,769",,0,,,,,,,,,,,,,,,,,,,,
Citizens Bank Of Chatsworth,Bank,441135,Chatsworth,IL,3/31/2025,"40,456",0,0,0,0,"16,434","13,651","16,636","13,616","2,682",0,212,"8,407",,212,,,,,,,,,,,,,,,,,,,,
"Citizens Bank Of Clovis, The",Bank,710859,Clovis,NM,3/31/2025,"500,758",0,0,0,0,"143,406","114,368","147,998","118,482","29,437",0,0,"8,095",,0,,,,,,,,,,,,,,,,,,,,
"Citizens Bank of Cochran, The",Bank,278733,Cochran,GA,3/31/2025,"198,579",0,0,0,0,"13,638","12,681","14,210","12,998","24,768",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
